Home,Away,Home_Goals,Away_Goals
Shimizu,Vegalta Sendai,1,0
Tokushima,Albirex Niigata,1,2
Yokohama M.,FC Tokyo,0,1
Kobe,C-Osaka,2,2
Nagoya,Sagan Tosu,2,3
Kawasaki Frontale,G-Osaka,2,1
Omiya Ardija,Kofu,0,2
Hiroshima,Kashima,0,3
FC Tokyo,Nagoya,0,1
Kofu,Tokushima,0,1
Albirex Niigata,Kobe,1,1
Sagan Tosu,Hiroshima,1,2
Kashima,Shimizu,2,1
G-Osaka,Kashiwa,1,2
Urawa,Yokohama M.,1,0
Vegalta Sendai,Kawasaki Frontale,0,0
C-Osaka,Omiya Ardija,1,1
Kashiwa,Kashima,1,0
Tokushima,Vegalta Sendai,0,1
Yokohama M.,G-Osaka,2,0
Kawasaki Frontale,Kofu,2,0
Kobe,Hiroshima,0,0
Shimizu,Sagan Tosu,0,1
Urawa,FC Tokyo,1,0
Omiya Ardija,Albirex Niigata,2,2
Nagoya,C-Osaka,1,2
FC Tokyo,Omiya Ardija,0,1
Vegalta Sendai,Kobe,4,3
Albirex Niigata,Shimizu,2,1
Kashima,Nagoya,1,2
Sagan Tosu,Kashiwa,1,0
Kofu,Urawa,0,0
G-Osaka,Tokushima,3,0
Nagoya,G-Osaka,1,2
Hiroshima,Shimizu,1,1
Tokushima,FC Tokyo,0,0
Yokohama M.,Sagan Tosu,1,2
Kawasaki Frontale,Kashima,4,1
Kobe,Kofu,1,0
C-Osaka,Vegalta Sendai,0,1
Omiya Ardija,Urawa,0,2
Kashiwa,Albirex Niigata,1,0
Kofu,Kashiwa,3,0
Shimizu,Kobe,1,1
Urawa,C-Osaka,1,0
Albirex Niigata,Nagoya,1,1
Sagan Tosu,Omiya Ardija,1,1
FC Tokyo,G-Osaka,3,0
Kashima,Tokushima,1,0
Vegalta Sendai,Hiroshima,1,0
Kawasaki Frontale,Yokohama M.,0,3
C-Osaka,Kawasaki Frontale,1,2
Hiroshima,Yokohama M.,1,2
Shimizu,Kawasaki Frontale,0,2
Urawa,Albirex Niigata,1,0
FC Tokyo,Kashima,1,1
C-Osaka,Yokohama M.,2,2
G-Osaka,Kofu,2,0
Kashiwa,Vegalta Sendai,0,0
Kobe,Sagan Tosu,0,1
Nagoya,Tokushima,1,1
Omiya Ardija,Hiroshima,3,3
Albirex Niigata,FC Tokyo,0,1
G-Osaka,Shimizu,4,0
Hiroshima,Kashiwa,5,2
Kashima,Omiya Ardija,2,2
Kofu,C-Osaka,0,0
Sagan Tosu,Kawasaki Frontale,0,1
Tokushima,Urawa,0,2
Vegalta Sendai,Nagoya,3,3
Yokohama M.,Kobe,1,1
Shimizu,Kashiwa,3,0
Urawa,Kashima,1,1
FC Tokyo,Vegalta Sendai,3,0
C-Osaka,Sagan Tosu,0,1
Hiroshima,Kofu,1,1
